"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual","STATE"
1986,28.5,31.3,43.9,53.7,63.4,72.8,77.5,70.1,69.8,55.5,39.7,32.3,53.2,"Indiana"
1987,27.6,35.4,44.5,52.5,68.1,73.6,75.7,73.6,68.1,48.5,46.3,35.8,54.1,"Indiana"
1988,25.9,27.2,41.4,51.9,64.3,73.4,78.3,77.5,67.3,48.1,44.2,31.7,52.6,"Indiana"
1989,36.3,27.2,42.5,51.4,59.3,71.4,75.7,71.8,64.4,55.3,40.9,18.7,51.2,"Indiana"
1990,37.3,37.6,46.2,51.4,60.1,71.3,73.9,72.5,66.9,53.9,47.5,34.6,54.4,"Indiana"
1991,26.9,35.3,43.7,55.3,68.3,74.6,76.6,75.2,67.8,57.5,40.1,35.7,54.8,"Indiana"
1992,31.5,38.4,43.2,52.1,60.5,68.1,73.5,69.4,65.1,53.4,43.2,33.3,52.6,"Indiana"
1993,31.6,27.4,39.1,50.7,63.4,70.9,77.2,75.3,62.1,51.6,42.2,32.4,52,"Indiana"
1994,21.8,29.6,40.9,54.1,60.3,74.9,75.5,71.8,66.4,57,48.6,38.8,53.3,"Indiana"
1995,28.6,30,45,51.9,61.6,72.8,76.6,79.6,64.7,55.7,37,28.5,52.7,"Indiana"
1996,25.1,31.2,35.5,49.3,61.9,72.1,73.1,74.9,65.5,55.3,37.2,34.4,51.3,"Indiana"
1997,24.3,35.9,42.9,48.3,56.7,69.6,75.3,71.6,66.1,54.6,39,33.4,51.5,"Indiana"
1998,36.6,40.8,42,53.2,67,71.4,74.9,75.3,71.4,57,45.5,36.5,56,"Indiana"
1999,28.4,37.4,38.4,54.9,64.3,73.7,79.2,72.3,67.1,55.2,48.8,34.6,54.5,"Indiana"
2000,27.9,38.7,47,51.4,64.9,71,73,73.6,65.2,57.7,40.6,19.7,52.6,"Indiana"
2001,28,34.6,38.4,58.5,64.4,70.2,74.4,75.4,65.1,54.3,49.5,38.1,54.2,"Indiana"
2002,35.1,35.6,40.1,54.8,59.7,73.8,78.3,77.4,71.3,53.3,40.3,33,54.4,"Indiana"
2003,21.6,25.4,43.3,54.6,61,68.2,74,74.9,64.6,54.4,47.2,34.4,52,"Indiana"
2004,25.2,32.1,45.4,54.9,66.9,70.9,73,69.8,69,55.9,46.8,31.8,53.5,"Indiana"
2005,30.7,36.3,38.3,55,60.1,74.8,76.4,76.6,70.5,56.3,44.5,27.1,53.9,"Indiana"
2006,39.7,32.3,41.7,57.1,61.3,70.4,76.6,75,64.1,52,45.5,38.7,54.5,"Indiana"
2007,32.5,19.7,49,50.8,68.1,74.2,74.3,79.9,71.7,62.1,43.4,34.1,55,"Indiana"
2008,28.6,29.8,40.4,53.8,59.8,73.2,75,73.8,70.1,56,41.6,30.7,52.7,"Indiana"
2009,23,33.9,47.2,53.9,63.6,73.4,70.9,73,68.5,51.6,47.4,31.1,53.1,"Indiana"
2010,24.6,26,45.9,59.6,66,76,78.7,79.5,70.5,58.1,44.8,25.4,54.6,"Indiana"
2011,23.8,33.4,43.6,55.8,63.8,73.7,82,76.9,66,55.7,48.7,37.8,55.1,"Indiana"
2012,33.7,37.3,56.6,54.5,68.8,74.6,84,74.9,65.2,52.7,41.4,38.4,56.8,"Indiana"
2013,29.9,30.9,35.5,52.5,65.4,72,73.9,74.9,69.5,54.6,39.2,29.9,52.4,"Indiana"
2014,20.1,22.3,35.7,53,63.1,72.7,70.1,73.8,65.4,54.2,35.9,33.3,50,"Indiana"
2015,25.3,20.2,39.2,54.5,66.8,72.6,74.6,72.9,70.5,57,48,42.6,53.7,"Indiana"
2016,28.9,34.8,49.2,53.7,62.3,74.5,76.5,78.2,71.3,60.7,48.1,30.3,55.7,"Indiana"
2017,34.9,43.3,43.8,59.3,62.3,72.1,76.2,73,69.8,58.2,43.9,30.2,55.6,"Indiana"
2018,25.1,37.7,38.9,47.1,72.6,75.5,77,75.9,71.3,55.9,37.8,36.5,54.3,"Indiana"
2019,27.4,33.8,38.2,54.1,64.2,71.2,78.2,74.7,73.7,56.5,37.7,37,53.9,"Indiana"
1966,21.9,26.6,37.8,46.2,54.2,68.9,72.7,68.8,60.9,50.3,42.8,30.4,48.5,"Ohio"
1967,32.4,25.9,37.1,49.7,52.3,71.7,69.7,68.8,61.7,54,38.6,34.6,49.7,"Ohio"
1968,23,22.6,37.5,49.4,54.3,66.5,70,71.7,63.9,52,42.4,29.9,48.6,"Ohio"
1969,25.4,27.9,34.2,49.4,58.6,65.4,72.4,71.7,63.6,51.9,40.2,27.2,49,"Ohio"
1970,18.8,27.2,33.8,50.2,62.7,69.8,71.9,69.9,66,54.4,41.6,32.2,49.9,"Ohio"
1971,21.4,27.9,31.5,43.2,56.5,70.9,69.5,68.9,67.7,59.9,41.3,38.1,49.7,"Ohio"
1972,27.3,25.7,34.7,46,58.6,62.7,71.4,68.9,63.8,49.1,39.6,34.5,48.5,"Ohio"
1973,30.3,27.8,46.5,50.1,56.7,70.4,72.5,73.2,66.3,57.7,44.6,34.3,52.5,"Ohio"
1974,32,27.8,39.6,51.3,56.4,66.2,72.1,70.4,59.9,51.2,42.9,31.7,50.1,"Ohio"
1975,31.8,30.4,34.6,41.7,62.3,69.7,71.2,72.3,58.6,53.8,47,32,50.4,"Ohio"
1976,21.6,35.9,45,49.1,55.3,69.5,71.6,68.3,61,48,33.7,23.2,48.5,"Ohio"
1977,11,25,42.7,51.4,61.8,63.3,73.1,69.6,65.6,52.5,45.4,29.2,49.2,"Ohio"
1978,20.1,16.7,32.4,47,59.4,69,72.2,72.9,69.2,53.2,44.2,33.6,49.2,"Ohio"
1979,21.9,19,42.8,46.6,56.8,66.9,71.1,71.5,65,52.4,42.3,33.6,49.2,"Ohio"
1980,25.5,21.9,33.6,46.1,58.5,64,72.3,73.2,64.7,47.9,39.4,28.5,48,"Ohio"
1981,20.1,31.4,36,50.6,55.6,68.2,71.3,70,62.4,50,42.6,30.6,49.1,"Ohio"
1982,19.8,25.2,37,44.6,64.9,64.1,73.5,67.9,62.7,55.3,45.4,40.5,50.1,"Ohio"
1983,30.7,33.9,40.8,47.1,55.7,69,75.1,73.7,65.1,53.4,43.8,23.2,51,"Ohio"
1984,20.7,34.5,28.4,46.8,54,69.5,68.7,70.5,61,56.2,40.9,36.4,49,"Ohio"
1985,20.7,25.2,40.3,53.6,60.4,62.7,71.1,68.8,64.9,54,46,24.3,49.3,"Ohio"
1986,26.6,28.8,39.5,49.8,60.7,67.2,73.1,68.9,67,54.3,40.3,32.5,50.7,"Ohio"
1987,27.4,30.5,39,49.1,62.9,70.1,75.2,70.8,63.5,47.5,46.1,34.7,51.4,"Ohio"
1988,25.6,25.8,37.5,47.9,59.6,68.8,75.9,74.2,64,47.1,43.8,31.2,50.1,"Ohio"
1989,35,26.1,38.1,45.2,57.5,68.3,73.4,71,63.9,53.9,41,19.1,49.4,"Ohio"
1990,35.8,34.1,42,49.4,56.3,67.6,71.2,69.8,63.4,53.7,45.3,35.6,52,"Ohio"
1991,27.3,32.8,40.7,52.6,66.8,71.1,74.7,72.6,64.5,55.7,40.2,34.8,52.8,"Ohio"
1992,30.1,32.7,36.6,47.9,57.9,64.1,70.7,67.6,63.3,49.8,42,34.1,49.7,"Ohio"
1993,32.2,25.5,33.6,47.6,59.1,67.9,74.9,73.1,62.2,51.3,41.8,30.5,50,"Ohio"
1994,19.2,26.4,36.3,50.5,54.7,69.7,73.3,69.3,63.9,54.4,47.8,36.9,50.2,"Ohio"
1995,30,26.9,40,46.6,59.3,71.5,75.5,77.7,63.2,56.3,38.5,26,51,"Ohio"
1996,25.9,27.7,30.9,46.3,56.7,69.3,69.6,70.9,64,54,36.3,34.7,48.9,"Ohio"
1997,25.6,34.4,38.7,45.2,52.9,68.2,70.6,67.5,62.6,53,39,33.4,49.3,"Ohio"
1998,35.2,37.5,41.1,49.3,64.4,68.4,71.4,72.1,67,53.5,44.9,37,53.5,"Ohio"
1999,27,34.7,34.3,50.3,61,70.1,76.2,69.1,65,52.4,45.8,33.8,51.6,"Ohio"
2000,26.6,34.2,43.2,47,61.5,68.6,68,68.8,63.1,54.7,39.8,22.3,49.8,"Ohio"
2001,27.6,32.1,34,51.4,60,68,71.9,72.6,61.4,54.4,48.8,37.1,51.6,"Ohio"
2002,34.6,34,37.4,50.5,55.5,70.4,75.5,73.6,68.7,51.8,41.3,30.7,52,"Ohio"
2003,21.2,24.5,38.7,48.8,57.8,66.8,72.5,73.2,63.7,51.3,47.8,33.6,50,"Ohio"
2004,21.6,29.7,40.4,49,62.1,66.7,71.4,68.1,65.8,53.5,44.5,31,50.3,"Ohio"
2005,27.4,30.9,32.5,48.7,55.2,73.7,75.2,74,67.1,54.4,44.7,27.4,50.9,"Ohio"
2006,38.6,30.5,37.6,51.5,58.8,66.1,74.2,72.5,62.2,50.1,44.9,38.4,52.1,"Ohio"
2007,31.1,18.8,40.1,46.5,61.9,69.6,70.9,72.8,66.7,60.2,41.4,32.6,51.1,"Ohio"
2008,30.1,27.2,33.5,52.3,56.3,70.9,73.5,71,66.1,51.5,40.2,31,50.3,"Ohio"
2009,19.4,30.5,39.6,50.7,60,68,69.9,72.5,65.4,52.3,47.7,31.7,50.6,"Ohio"
2010,27.1,28.4,42.2,56,64.8,72.4,75.8,74.9,66.2,54.3,43.2,26.4,52.6,"Ohio"
2011,23.1,29,36.4,50,61.8,69.9,77.6,72.2,65.6,53.7,47.9,37.5,52.1,"Ohio"
2012,32.5,34.9,51.4,48.8,65,71.4,78,72.2,62.8,53,40.3,37.8,54,"Ohio"
2013,30.4,27.9,33.8,48.9,63.3,68.9,73.9,71,65,55.6,40.1,32,50.9,"Ohio"
2014,21.7,22.5,32.2,50.9,60.9,70.1,69.3,70.4,63,53.4,37.1,35.5,48.9,"Ohio"
2015,23,14.3,33.9,49.7,64.1,68.7,71.4,70.6,68.8,54.6,48.2,43.9,50.9,"Ohio"
2016,28,32.3,44.8,47.5,60.5,71.9,76.8,77.8,70.5,59.2,48.8,32.3,54.2,"Ohio"
2017,34.8,41.3,39.3,57.4,60.3,72.2,75.1,72.5,69,59.4,43.8,28.7,54.5,"Ohio"
2018,26.9,36,34.4,43.7,66.9,71.3,75.5,75.5,70.7,55.3,38.1,37,52.6,"Ohio"
2019,27.9,32.8,35.9,52.2,61.5,69,77.2,73,71.3,57.9,38.9,38,53,"Ohio"
1966,27,34.1,46.1,53.4,62.3,73.1,81,75.6,67.4,54.6,47.2,35.5,54.8,"Kentucky"
1967,36.3,30.9,50.6,59.7,62.4,73.4,74.5,72.2,65.7,57.2,42.7,39.3,55.4,"Kentucky"
1968,30.3,30,45.7,56.8,63.4,74,77.7,77.9,68.9,57.4,48,35.7,55.5,"Kentucky"
1969,33,36.9,39.8,58,66.2,73.5,78.7,74.7,67.5,57.2,43.3,33.4,55.2,"Kentucky"
1970,27.9,33.6,42.3,59.2,67.2,72.9,75.8,76,73.4,58.1,45.3,39.5,55.9,"Kentucky"
1971,30.8,35,42,54.7,61.5,76.5,74.8,74.1,72.2,64.4,47,45.1,56.5,"Kentucky"
1972,35.2,34.8,44.8,56.2,65.4,70.6,77.1,76,72.3,55.2,44,39.1,55.9,"Kentucky"
1973,35,36.3,53.7,54.4,61.5,75.6,78.4,77,73.6,62.3,49.8,37,57.9,"Kentucky"
1974,39.8,39.3,49.8,57.2,65.1,68.7,75.9,75,63.2,54.9,47,39.1,56.3,"Kentucky"
1975,38.1,40.1,43.3,54.4,69,75.4,77.7,79.2,66.2,59.3,50.6,38.9,57.7,"Kentucky"
1976,31.2,45.3,52.3,57.5,62.8,72.8,76.8,74.2,66.8,52.4,39.5,33,55.4,"Kentucky"
1977,18.5,36.9,51.6,60.3,71.1,73.9,80.2,77.5,72.5,55.4,49.6,34.6,56.8,"Kentucky"
1978,22.9,23.8,41.6,58,63.7,75.6,78.5,77.1,73.6,55.5,50,40,55,"Kentucky"
1979,24.6,27.9,48.3,55,64.1,73.9,75.2,76,69.4,58.2,46.9,39.2,54.9,"Kentucky"
1980,33.5,29.5,41.8,53.6,66.8,73.4,815,80.9,73.5,55.8,46.3,38.3,56.2,"Kentucky"
1981,30.4,38.8,45.6,62.4,62.9,76.1,78.7,76,67.7,56.4,47.3,33.8,56.3,"Kentucky"
1982,28.6,34.8,47.1,51.3,70.3,69.3,78,73.5,66.8,59,48.7,44.9,56,"Kentucky"
1983,34.7,37.5,46.6,51.7,62.1,73.4,81,81.6,71,59.1,47.8,28.4,56.2,"Kentucky"
1984,28.8,41.5,40.4,54.9,62.5,77.6,75.5,76,67.2,63.9,44,45.9,56.5,"Kentucky"
1985,25.4,32.8,50.2,60.3,66.5,72,77.2,74.8,69.2,61.4,53.7,30.3,56.2,"Kentucky"
1986,34.4,39.9,48.3,58.5,67,75.7,80.3,74.3,73.1,59.5,45.8,36.7,57.8,"Kentucky"
1987,33.7,39.5,47.9,55.4,71.5,76.2,78.9,78.2,71.2,52.6,50.8,40.2,58,"Kentucky"
1988,30.9,34.7,46.1,57,67.1,75.6,80.3,80,70.1,52.2,47.8,37.9,56.6,"Kentucky"
1989,41.6,34,48.4,56.7,62.5,73.5,78,76.5,69.3,58.3,46.7,25.3,55.9,"Kentucky"
1990,43.1,44.3,51.1,55.5,64.2,75.1,78.5,77.5,71.7,58.7,52,40.7,59.4,"Kentucky"
1991,34.1,40.5,49.4,60.3,73.1,78.3,81.2,79.1,71.7,61.5,45,41.4,59.6,"Kentucky"
1992,37.1,43.7,47.9,58.2,63.9,72.1,78.4,73.2,69.1,58.1,47.9,38.5,57.3,"Kentucky"
1993,38.4,34,44,54.9,66.8,74.5,81.9,79,68,55.9,45.8,36.5,56.6,"Kentucky"
1994,26.8,38,45.4,59.9,63,77.4,79,76,68.6,59.4,52.2,42.4,57.3,"Kentucky"
1995,35.6,36.2,49.5,57.8,65.6,74.9,79.7,82.3,68.7,59.2,40.5,34,57,"Kentucky"
1996,31.4,36.4,39.4,51.9,67.1,73.2,74.3,74.9,66.6,57.5,40.6,39.9,54.4,"Kentucky"
1997,31,40.5,47.4,50.8,59.5,70.2,76.8,73.6,67.9,57,42.4,35.8,54.4,"Kentucky"
1998,41.3,42.2,46.3,54.4,68.7,73.5,75.9,76.4,74.2,59.3,48.6,40.1,58.4,"Kentucky"
1999,35.8,40.9,41.5,57.7,66.4,74.5,81.2,76.2,70.5,58.5,52.8,38.1,57.8,"Kentucky"
2000,33.5,44.2,50.1,54.7,68.3,74,75.4,75.5,67,60.9,43.7,25,56,"Kentucky"
2001,32.4,40.3,41.9,61.3,67.2,72.1,76.6,77.4,66.8,57.3,51.9,41.1,57.2,"Kentucky"
2002,38.9,38.8,44.7,58.6,62.4,75.1,79.1,78.2,72.7,56.2,43.4,36.4,57,"Kentucky"
2003,27.2,31.4,47.7,57.8,64.5,69.8,760,76.4,66.3,57.8,50.7,37,55.2,"Kentucky"
2004,30.7,36.3,48.9,56.6,69.7,73.1,74.4,72.1,69.8,60,49.8,35.4,56.4,"Kentucky"
2005,37,40,41.7,57.1,62.6,75.1,77.5,78.8,71.8,58.8,47.8,32.4,56.7,"Kentucky"
2006,44.1,37.8,47,61.5,65,73.7,79.3,79.3,66.6,55.7,49.1,43,58.5,"Kentucky"
2007,38.8,30,55.2,55.5,70.5,77.2,77.6,85,76.4,65.9,48.9,41.9,60.2,"Kentucky"
2008,34.7,37.6,46.5,57.9,64.8,78.5,79.8,78.8,73.8,59.7,45.5,37.5,57.9,"Kentucky"
2009,29.9,40.2,50.4,58.3,66.8,75.5,73.4,75.7,71,55,51.2,36.6,57,"Kentucky"
2010,30.1,30.9,49,62.6,70.5,81.1,82.9,82.8,75.1,63.1,49.9,30.8,59.1,"Kentucky"
2011,30.8,40.9,49.7,62,67.6,77.3,83.3,79.4,68.6,58.2,52,42.9,59.4,"Kentucky"
2012,39.2,42.3,59.6,59.4,72.6,76.2,84.5,78.4,69.7,57.3,45.9,44.4,60.8,"Kentucky"
2013,38,37.7,41.1,58.4,68.6,75.9,76.9,77.7,72.4,59.1,44.8,38.6,57.4,"Kentucky"
2014,28.6,32.9,43.9,59.9,69.1,77.8,75.8,78.5,71.2,59.7,41.9,41,56.7,"Kentucky"
2015,33.8,27.8,46.6,60.2,70.7,77.4,795,76.4,73.7,61.3,52.9,50,59.2,"Kentucky"
2016,34.5,40.3,54.2,59.8,66,78.2,80.8,81.2,75.5,66.2,52.7,38,60.6,"Kentucky"
2017,41.6,49,50.3,65.3,67.9,75.9,80.7,76.9,71.3,61.4,49.4,37,60.6,"Kentucky"
2018,32.7,45,45.3,53.2,76,79.2,79.9,79.5,74.9,61.5,43.3,43,59.5,"Kentucky"
2019,35.2,42.9,45.2,61.2,70.9,75.5,81.6,79.8,79.7,62,43,44.1,60.1,"Kentucky"
1966,27.1,36.5,47.7,54.1,62,72,77.2,73.5,66.5,55,48.2,35.5,54.6,"West Virginia"
1967,38.5,31.5,48.5,56.3,58.3,71.6,71,70.2,62.1,55.9,41.3,38.9,53.7,"West Virginia"
1968,29.1,27,47.5,56.4,61,70.5,74.2,74.1,66.3,55.9,46.8,34.2,53.6,"West Virginia"
1969,32.7,35.2,38.7,56.2,64.1,73.7,76.6,72.1,64.1,53.9,41.3,32.2,53.4,"West Virginia"
1970,28.4,36.2,43.2,58.2,66.8,73.1,74.6,73.5,70,57.4,46,38.3,55.5,"West Virginia"
1971,29.4,35.1,39.7,51.9,59.9,73.5,72.3,71.9,70.6,63.8,45.9,47.3,55.1,"West Virginia"
1972,38.6,35.1,43.8,54.4,63.7,64.9,73.3,72.7,68.7,52.5,43.4,42.1,54.4,"West Virginia"
1973,34.3,35,52.2,53.8,60.8,73.2,74.5,74.6,70.1,58.9,46.8,37.9,56,"West Virginia"
1974,43.5,37.1,49.1,56.9,64.1,67.8,74.2,73.6,63.2,52.4,45.1,36.7,55.3,"West Virginia"
1975,35.7,37.9,39.8,50.2,66.1,71.7,74.2,76.7,63.9,57.6,50.2,38.5,55.2,"West Virginia"
1976,31.6,46.9,51.5,55.2,61.9,71.9,72.4,70.2,63.3,49.5,37.6,30.9,53.6,"West Virginia"
1977,18.5,33.1,49.8,58.4,66.9,68.6,76.8,73.6,70.2,53.4,49.1,35.1,54.5,"West Virginia"
1978,24.4,24.2,42.5,56.7,63.1,70.8,73.8,74.9,71,53.7,49,39,53.6,"West Virginia"
1979,28.1,27.9,50.5,55.1,63,68.8,72.9,73.4,67,54.6,47.5,38.3,53.9,"West Virginia"
1980,34.1,29.7,42,53.3,63.6,68.8,76.6,76.3,69.8,53.5,43.1,36.3,53.9,"West Virginia"
1981,28,37.1,41.4,59.1,60.4,73.2,75.7,72.8,66.5,54.1,45.3,34.5,54,"West Virginia"
1982,29.7,36.1,47.2,51.5,68.5,68.8,76.2,71,65.9,57.7,49,44.8,55.5,"West Virginia"
1983,33.9,37.7,47,52.1,61.1,71.6,77,77.9,68.4,58.1,47,32,55.4,"West Virginia"
1984,30.6,41.5,41.1,54.1,61.3,75.2,73.1,74.9,65.4,64.4,44.6,46.8,56.1,"West Virginia"
1985,27.2,34,49.3,60.8,66.3,71,75.8,73.9,69.6,62.3,55.5,33.8,56.6,"West Virginia"
1986,34.1,40.5,47.1,57.8,65.3,72.2,77.2,71.9,69.5,57.9,46.4,36.4,56.4,"West Virginia"
1987,32.9,37.2,47,52.7,68.4,73.5,77,770,67,50.3,49,39.8,56,"West Virginia"
1988,31.1,35.1,46.1,54.1,63.2,70.9,78.6,77.4,66.6,49.3,47,37.3,54.7,"West Virginia"
1989,41.1,34.9,47.8,52.8,59.4,71.7,75.6,73.2,67,56.7,46.4,26,54.4,"West Virginia"
1990,42.3,45.2,51.7,55,62.9,72.3,75.8,74,68.7,58.2,50.7,43.6,58.4,"West Virginia"
1991,36.5,40.3,47.3,60.3,71.7,73.9,77.9,75.2,68.4,59.1,45.7,41.2,58.1,"West Virginia"
1992,35.6,41.8,45.4,55.7,61.2,68.8,76,70.9,67.3,54.1,47,37.9,55.2,"West Virginia"
1993,40.2,34,41.8,55,64.9,71.4,79,76.4,66.6,55.1,47.1,36.6,55.7,"West Virginia"
1994,28.1,38.6,45.3,60.5,59.6,74.2,76.1,72.3,65.3,54.8,50.6,41.2,55.6,"West Virginia"
1995,34.7,34,46.9,55.2,61.9,71.5,76.4,77.7,64.7,57,40.8,32.6,54.5,"West Virginia"
1996,32.2,35.5,39.6,54,64.7,71.9,71.6,72.8,65.9,55.8,40.2,41.4,53.8,"West Virginia"
1997,35.5,43.8,47,50.8,58.6,70.1,74.5,70.8,64.9,55.1,42.2,36.5,54.2,"West Virginia"
1998,41,41.9,45.9,55.4,65.8,70.3,73.7,73.9,70.2,56.1,46.7,40.4,56.8,"West Virginia"
1999,38.2,39.4,40.1,58.5,64,72.8,79.1,72.3,65.8,54.8,48.9,38.2,56,"West Virginia"
2000,32.1,43.1,49.1,54.1,66,72.3,71.2,71.8,65.7,57.6,43.3,28.5,54.6,"West Virginia"
2001,33.2,40.5,40.3,59.1,64,70.5,72.4,74.8,64.6,55.2,50.3,42.2,55.6,"West Virginia"
2002,38.3,38.1,45.7,57.8,60.5,72.8,76.3,75.9,71.1,57,43.9,37.6,56.3,"West Virginia"
2003,28.2,33.9,48.6,57.4,62.2,676,73.1,74.4,65.1,54.8,49.7,36.3,54.3,"West Virginia"
2004,30.9,36.7,48,55.7,68.9,70.8,74.5,71.6,68.4,58.9,50,37.8,56,"West Virginia"
2005,38.3,39.7,41.7,56.3,59.7,73.9,77.1,77.6,70.4,57.6,48.3,33.3,56.2,"West Virginia"
2006,43.2,36,45.1,59.7,61.7,70,75.9,76.9,64.6,54.8,48,42.4,56.5,"West Virginia"
2007,38.7,28.2,51.5,54.1,67.1,73.8,73.9,79.4,70.9,62.5,46,41,57.3,"West Virginia"
2008,34.7,38,46.3,57.2,61.3,73.2,74.2,72.8,70.9,55.7,43.3,38.1,55.5,"West Virginia"
2009,31.2,38.1,47.9,56.9,64.3,71.6,71.3,73.8,68.1,54.5,49,35.7,55.2,"West Virginia"
2010,30.1,30.6,46.6,59.8,67.5,75.8,77.5,77.1,69.2,57.7,47.2,28.9,55.7,"West Virginia"
2011,30.9,41.1,46.4,59.9,65.1,73.5,79.2,75.4,67.9,55,50.9,42.5,57.3,"West Virginia"
2012,38.7,39.8,56.5,55.5,69.5,72.5,78.5,74.5,67.1,55.2,43,42.6,57.8,"West Virginia"
2013,37.2,35.9,39.7,57.5,65,72.5,75.2,73.1,67.2,575,43.1,39.2,55.3,"West Virginia"
2014,27.6,33.9,41.6,58.8,65.2,73.5,73.1,73.3,67.6,55.8,41.2,40.1,54.3,"West Virginia"
2015,32.4,25.7,45,56.4,68.6,74.1,75.3,73.2,70.2,57.1,52.1,49.3,56.6,"West Virginia"
2016,31,38.5,52.5,57.6,62.9,73.2,76.9,78.3,72.8,60.8,48.7,39.2,57.7,"West Virginia"
2017,41.2,45.8,46.5,61.4,64.3,71.1,75.9,72.9,67.9,60.1,46.8,35.7,57.5,"West Virginia"
2018,31.3,45.4,41.7,51.4,72,74.2,75.9,75.6,73.6,576,42.6,40,56.8,"West Virginia"
2019,35.1,43.1,43.8,59.4,68.5,71.2,78.2,75.6,74.9,60.8,41.7,41.9,57.9,"West Virginia"
1966,23.1,30.3,40.9,47.9,56,70.4,75.6,71,61.3,50.8,42.8,31.4,50.1,"Pennsylvania"
1967,32.3,25.6,40.1,52.2,54.3,73,71.4,68.8,61.1,52.5,36.8,34.8,50.2,"Pennsylvania"
1968,23.3,22.2,40.3,51.2,54.7,66.8,72.4,71.8,64.7,52.2,41.3,27.6,49,"Pennsylvania"
1969,26.7,29.5,34.3,51.7,60.2,69.3,72.7,69.7,63,529,39.2,26.7,49.7,"Pennsylvania"
1970,20.6,27.7,35.5,52.4,63.9,68.2,71.5,71.6,67.8,54.8,42.2,32.1,50.7,"Pennsylvania"
1971,23.6,30.4,34.2,46,56.6,71.3,70.2,69.6,68.5,59.4,40.4,38.8,50.7,"Pennsylvania"
1972,29.5,26.5,36.3,48.5,61.8,63.8,71.2,70.6,65.2,48.4,39.2,37.2,49.9,"Pennsylvania"
1973,29.6,28.8,48.3,49.3,56.4,70.9,73.2,73.2,66.5,56.1,44.1,33.2,52.5,"Pennsylvania"
1974,33.9,29.8,41.2,51.8,58.2,65.2,73.1,72.8,62.2,52.4,43.9,32.4,51.4,"Pennsylvania"
1975,32.6,32.1,36.2,44.3,62.9,67.8,72.8,73,58.8,53.3,46.3,32.9,51.1,"Pennsylvania"
1976,23.5,37.2,45.1,50.6,55.6,68.4,67.4,65.3,59.9,45.9,33.1,23.8,48,"Pennsylvania"
1977,11.4,26.9,43.7,50.7,63,63.8,71.8,68.1,64.6,50.5,45.5,31.1,49.3,"Pennsylvania"
1978,22.5,20.9,36.9,51,60.2,69.4,73,71.3,66.2,49.1,42.9,32.7,49.7,"Pennsylvania"
1979,21.3,18,43,49.7,59,67.7,70.3,69.6,63.4,50.9,44.7,34.6,49.4,"Pennsylvania"
1980,26.8,24.2,35.5,48.1,60.2,66.2,74.9,74.5,67.1,495,38.5,28.6,49.5,"Pennsylvania"
1981,20.5,31.4,35.5,51.9,58.4,68.7,72.1,69.7,61.9,49.4,40.3,29.4,49.1,"Pennsylvania"
